# Current [A], Field [T]
4.763928825622776458e+03,1.711545710840589818e+00
4.773937366548043428e+03,1.714243562806676779e+00
4.783945907473310399e+03,1.716931519042076415e+00
4.793954448398577370e+03,1.719609249032500120e+00
4.803962989323843431e+03,1.722276791784659755e+00
4.813971530249110401e+03,1.724933872922969513e+00
4.823980071174377372e+03,1.727580688628744587e+00
4.833988612099644342e+03,1.730217813567065388e+00
4.843997153024911313e+03,1.732845510127457800e+00
4.854005693950178284e+03,1.735463439709533873e+00
4.864014234875445254e+03,1.738071238267206775e+00
4.874022775800712225e+03,1.740668751525587865e+00
4.884031316725979195e+03,1.743256070232542587e+00
4.894039857651246166e+03,1.745833852531603725e+00
4.904048398576513137e+03,1.748402722011732857e+00
4.914056939501780107e+03,1.750962634564970477e+00
4.924065480427047078e+03,1.753513447296449979e+00
4.934074021352314048e+03,1.756054725634108138e+00
4.944082562277580109e+03,1.758586337622458418e+00
4.954091103202847080e+03,1.761108774534724475e+00
4.964099644128114051e+03,1.763623031183725320e+00
4.974108185053381021e+03,1.766129518084213590e+00
4.984116725978647992e+03,1.768627778803191219e+00
4.994125266903914962e+03,1.771117420304240797e+00
5.004133807829181933e+03,1.773597982210438184e+00
5.014142348754448903e+03,1.776069648652585098e+00
5.024150889679715874e+03,1.778532667918911514e+00
5.034159430604982845e+03,1.780987589976627872e+00
5.044167971530249815e+03,1.783434840494877438e+00
5.054176512455516786e+03,1.785874010063325468e+00
5.064185053380783756e+03,1.788304469598420932e+00
5.074193594306050727e+03,1.790725738773749853e+00
5.084202135231316788e+03,1.793137900786426542e+00
5.094210676156583759e+03,1.795541807159495518e+00
5.104219217081850729e+03,1.797937917999226975e+00
5.114227758007117700e+03,1.800326359143753496e+00
5.124236298932384670e+03,1.802706668404652879e+00
5.134244839857651641e+03,1.805078841981340387e+00
5.144253380782918612e+03,1.807442748111811825e+00
5.154261921708185582e+03,1.809798450948776338e+00
5.164270462633452553e+03,1.812146350036547560e+00
5.174279003558719523e+03,1.814486788177397170e+00
5.184287544483986494e+03,1.816819647495346635e+00
5.194296085409253465e+03,1.819144937315163357e+00
5.204304626334520435e+03,1.821462622984855395e+00
5.214313167259787406e+03,1.823772675547881805e+00
5.224321708185053467e+03,1.826075022333184750e+00
5.234330249110320437e+03,1.828370033003096751e+00
5.244338790035587408e+03,1.830657575641132739e+00
5.254347330960854379e+03,1.832937745106162808e+00
5.264355871886121349e+03,1.835210561856650102e+00
5.274364412811388320e+03,1.837476180102805223e+00
5.284372953736655290e+03,1.839734405315314403e+00
5.294381494661922261e+03,1.841985353435313444e+00
5.304390035587189232e+03,1.844229156662368307e+00
5.314398576512456202e+03,1.846465689439472868e+00
5.324407117437723173e+03,1.848695073558814794e+00
5.334415658362990143e+03,1.850917378313781780e+00
5.344424199288257114e+03,1.853132444941945511e+00
5.354432740213523175e+03,1.855340466169786984e+00
5.364441281138790146e+03,1.857541456182851158e+00
5.374449822064057116e+03,1.859735411265299065e+00
5.384458362989324087e+03,1.861922221877951200e+00
5.394466903914591057e+03,1.864102115319742126e+00
5.404475444839858028e+03,1.866275089413979682e+00
5.414483985765124999e+03,1.868441076257325806e+00
5.424492526690391969e+03,1.870600234297546516e+00
5.434501067615658940e+03,1.872752483285063718e+00
5.444509608540925910e+03,1.874897837556741331e+00
5.454518149466192881e+03,1.877036452671745570e+00
5.464526690391459852e+03,1.879168283747119750e+00
5.474535231316726822e+03,1.881293205337619456e+00
5.484543772241993793e+03,1.883411388507456374e+00
5.494552313167259854e+03,1.885522937766049623e+00
5.504560854092526824e+03,1.887627865436320329e+00
5.514569395017793795e+03,1.889726171518267162e+00
5.524577935943060766e+03,1.891817856011898336e+00
5.534586476868327736e+03,1.893902918917197198e+00
5.544595017793594707e+03,1.895981360234172852e+00
5.554603558718861677e+03,1.898053179962851722e+00
5.564612099644128648e+03,1.900118378103170080e+00
5.574620640569395619e+03,1.902176954655175223e+00
5.584629181494662589e+03,1.904228909618853161e+00
5.594637722419929560e+03,1.906274242994265178e+00
5.604646263345196530e+03,1.908312954781275828e+00
5.614654804270463501e+03,1.910345044980020557e+00
5.624663345195730471e+03,1.912370513590377463e+00
5.634671886120996533e+03,1.914389360612481994e+00
5.644680427046263503e+03,1.916401586046225569e+00
5.654688967971530474e+03,1.918407189891689679e+00
5.664697508896797444e+03,1.920406172148793056e+00
5.674706049822064415e+03,1.922398532817589878e+00
5.684714590747331386e+03,1.924384271898025967e+00
5.694723131672598356e+03,1.926363389390209457e+00
5.704731672597865327e+03,1.928335885294032437e+00
5.714740213523132297e+03,1.930301759609656553e+00
5.724748754448399268e+03,1.932261012336488060e+00
5.734757295373666238e+03,1.934213643475499067e+00
5.744765836298933209e+03,1.936159653026095384e+00
5.754774377224200180e+03,1.938099040988168875e+00
5.764782918149467150e+03,1.940031807362151861e+00
5.774791459074733211e+03,1.941965640919193659e+00
5.784800000000000182e+03,1.943920142964403075e+00
5.806411132812500000e+03,1.947999657121596284e+00
5.834066406250000000e+03,1.953229687243754009e+00
5.861722167968750000e+03,1.958409251920227190e+00
5.889377929687500000e+03,1.963538258364451394e+00
5.917033203125000000e+03,1.968616617358372789e+00
5.944688476562500000e+03,1.973644419904462488e+00
5.972344726562500000e+03,1.978621840866753523e+00
6.006719726562500000e+03,1.984737989364089072e+00
